time_s,mission_phase,reference_x,reference_y,reference_z,truth_x,truth_y,truth_z,estimate_x,estimate_y,estimate_z,tracking_error_x_m,tracking_error_y_m,tracking_error_z_m,estimation_error_x_m,estimation_error_y_m,estimation_error_z_m,truth_roll_deg,truth_pitch_deg,truth_yaw_deg,reference_yaw_deg,yaw_tracking_error_deg,thrust_0_n,thrust_1_n,thrust_2_n,thrust_3_n,torque_x_nm,torque_y_nm,torque_z_nm,solver_time_ms,solver_iterations,solver_success,solver_status
0.01,hold,,,,0,0,-0.03446045,-0.0019419718,0.0096245866,-0.067065567,,,,-0.0019419718,0.0096245866,-0.032605117,0,0,1.2722219e-14,,,,,,,,,,,-1,False,not_started
0.02,hold,,,,0,0,-0.0329399,-0.0019639886,0.00961343,-0.065681034,,,,-0.0019639886,0.00961343,-0.032741134,0,0,1.2722219e-14,,,,,,,,,,,-1,False,not_started
0.03,hold,,,,0,0,-0.03043835,-0.0019828011,0.0096053487,-0.063313441,,,,-0.0019828011,0.0096053487,-0.032875091,0,0,1.2722219e-14,,,,,,,,,,,-1,False,not_started
0.04,hold,,,,1.18919e-21,2.940133e-21,-0.029828318,-0.0020058705,0.0095959006,-0.060451744,,,,-0.0020058705,0.0095959006,-0.030623426,2.8631754e-18,4.7159699e-18,1.2722219e-14,,,,,,,,,,,-1,False,not_started
0.05,takeoff,0,0,-0.035019356,4.9179485e-22,3.4201164e-21,-0.029838318,-0.0020474137,0.0095854705,-0.05759439,4.9179485e-22,3.4201164e-21,0.0051810388,-0.0020474137,0.0095854705,-0.027756072,3.6002759e-18,7.104453e-18,1.2722219e-14,0,0,,,,,,,,,-1,False,not_started
0.06,takeoff,0,0,-0.035019356,6.0948526e-22,4.5657069e-21,-0.029848317,0.00058560942,-0.027503914,-0.047631287,6.0948526e-22,4.5657069e-21,0.0051710393,0.00058560942,-0.027503914,-0.01778297,5.5632193e-18,8.1747876e-18,1.2722219e-14,0,0,,,,,,,,,-1,False,not_started
0.07,takeoff,0,0,-0.035019356,-4.6021532e-22,6.1394009e-21,-0.029858317,0.00054160429,-0.027540384,-0.044775666,-4.6021532e-22,6.1394009e-21,0.0051610398,0.00054160429,-0.027540384,-0.014917349,8.3884029e-18,1.1573396e-17,1.2722219e-14,0,0,,,,,,,,,-1,False,not_started
0.08,takeoff,0,0,-0.035019356,-5.7029829e-22,6.7526913e-21,-0.029868316,0.00049396087,-0.02756712,-0.041923911,-5.7029829e-22,6.7526913e-21,0.0051510403,0.00049396087,-0.02756712,-0.012055595,9.6025654e-18,1.2206028e-17,1.2722219e-14,0,0,,,,,,,,,-1,False,not_started
0.09,takeoff,0,0,-0.035019356,-1.017051e-21,7.9206696e-21,-0.029878316,0.00044246542,-0.027596654,-0.039076324,-1.017051e-21,7.9206696e-21,0.0051410408,0.00044246542,-0.027596654,-0.0091980088,1.2452406e-17,1.4843308e-17,1.2722219e-14,0,0,,,,,,,,,-1,False,not_started
0.1,takeoff,0,0,-0.035152522,-1.6505422e-21,1.0836923e-20,-0.029888315,0.0003837782,-0.02763798,-0.036230761,-1.6505422e-21,1.0836923e-20,0.0052642065,0.0003837782,-0.02763798,-0.0063424458,1.7654143e-17,1.758923e-17,1.2722219e-14,0,0,3.0915175,3.0915175,3.0915175,3.0915175,0,0,0,0.01684,0,True,mission_takeoff
0.11,takeoff,0,0,-0.035152522,-4.3229209e-21,8.4689796e-21,-0.029920592,0.02717043,-0.020400965,-0.03131206,-4.3229209e-21,8.4689796e-21,0.0052319294,0.02717043,-0.020400965,-0.001391468,1.3308659e-17,2.2464501e-17,1.2722219e-14,0,0,3.0915175,3.0915175,3.0915175,3.0915175,0,0,0,0.01684,0,True,mission_takeoff
0.12,takeoff,0,0,-0.035152522,-7.3992522e-21,6.3404804e-21,-0.030002375,0.02923738,-0.019874761,-0.028400175,-7.3992522e-21,6.3404804e-21,0.0051501464,0.02923738,-0.019874761,0.0016022004,8.9631747e-18,2.7339773e-17,1.2722219e-14,0,0,3.0915175,3.0915175,3.0915175,3.0915175,0,0,0,0.01684,0,True,mission_takeoff
0.13,takeoff,0,0,-0.035152522,-1.0967309e-20,4.3731903e-21,-0.030133664,0.031333402,-0.019333676,-0.025545879,-1.0967309e-20,4.3731903e-21,0.0050188576,0.031333402,-0.019333676,0.0045877848,4.6176907e-18,3.2215045e-17,1.2722219e-14,0,0,3.0915175,3.0915175,3.0915175,3.0915175,0,0,0,0.01684,0,True,mission_takeoff
0.14,takeoff,0,0,-0.035152522,-1.5114777e-20,2.4889527e-21,-0.030314459,0.033465239,-0.018780034,-0.022746067,-1.5114777e-20,2.4889527e-21,0.004838063,0.033465239,-0.018780034,0.0075683923,2.7220674e-19,3.7090317e-17,1.2722219e-14,0,0,3.0915175,3.0915175,3.0915175,3.0915175,0,0,0,0.01684,0,True,mission_takeoff
0.15,takeoff,0,0,-0.035506962,-1.992934e-20,6.0961096e-22,-0.030544759,0.035632459,-0.018212289,-0.019991132,-1.992934e-20,6.0961096e-22,0.0049622025,0.035632459,-0.018212289,0.010553627,-4.0732772e-18,4.1965589e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
0.16,takeoff,0,0,-0.035506962,-2.5501066e-20,-1.3432999e-21,-0.030827683,0.031058905,0.018227315,-0.033824824,-2.5501066e-20,-1.3432999e-21,0.0046792789,0.031058905,0.018227315,-0.0029971408,-8.4187612e-18,4.684086e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
0.17,takeoff,0,0,-0.035506962,-3.1920921e-20,-3.4486462e-21,-0.03116704,0.032598183,0.022474896,-0.032546686,-3.1920921e-20,-3.4486462e-21,0.004339922,0.032598183,0.022474896,-0.0013796465,-1.2764245e-17,5.1716132e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
0.18,takeoff,0,0,-0.035506962,-3.9277181e-20,-5.7851098e-21,-0.03156283,0.034160925,0.026831544,-0.031318451,-3.9277181e-20,-5.7851098e-21,0.003944132,0.034160925,0.026831544,0.00024437884,-1.7109729e-17,5.6591404e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
0.19,takeoff,0,0,-0.035506962,-4.765812e-20,-8.4313729e-21,-0.032015053,0.035750846,0.031286973,-0.030145989,-4.765812e-20,-8.4313729e-21,0.0034919088,0.035750846,0.031286973,0.001869064,-2.1455213e-17,6.1466676e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
0.2,takeoff,0,0,-0.036183351,-5.7152014e-20,-1.1466118e-20,-0.032523709,0.037363577,0.035833526,-0.029033685,-5.7152014e-20,-1.1466118e-20,0.0036596419,0.037363577,0.035833526,0.0034900243,-2.5800697e-17,6.6341948e-17,1.2722219e-14,0,0,3.1122996,3.1122996,3.1122996,3.1122996,0,0,0,0.01903,0,True,mission_takeoff
